away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
Oakland Athletics,0,12,8,0,188.8,"Night Game, on grass",San Francisco Giants,0,7,3,19, AT&T Park,41442
Los Angeles Dodgers,0,7,5,0,231.2,"Day Game, on grass",Pittsburgh Pirates,1,5,4,12, PNC Park,26925
Texas Rangers,0,9,9,0,248.8,"Night Game, on grass",New York Yankees,1,16,6,19, Yankee Stadium III,32914
St. Louis Cardinals,1,6,2,0,171.2,"Night Game, on grass",Kansas City Royals,0,12,6,19, Kauffman Stadium,31355
Toronto Blue Jays,0,6,5,0,196.8,"Night Game, on grass",Colorado Rockies,0,10,9,18, Coors Field,36419
Chicago Cubs,1,17,11,0,215.20000000000002,"Night Game, on grass",Cincinnati Reds,1,8,8,19, Great American Ball Park,31762
Cleveland Indians,0,14,8,0,204.0,"Night Game, on grass",Atlanta Braves,2,8,3,19, Turner Field,15538
Philadelphia Phillies,1,16,8,0,208.8,"Night Game, on grass",Arizona Diamondbacks,0,7,0,18, Chase Field,22567
Houston Astros,0,11,4,0,240.79999999999998,"Night Game, on grass",Los Angeles Angels of Anaheim,1,9,2,19, Angel Stadium of Anaheim,36839
Boston Red Sox,1,8,2,6,186.4,"Day Game, on grass",Texas Rangers,0,10,6,14, Globe Life Park in Arlington,36312
Philadelphia Phillies,1,12,7,6,205.60000000000002,"Day Game, on grass",San Francisco Giants,0,16,8,13, AT&T Park,41479
St. Louis Cardinals,0,17,11,6,220.0,"Day Game, on grass",Seattle Mariners,1,12,6,13, Safeco Field,35955
Los Angeles Dodgers,0,4,3,6,184.0,"Night Game, on grass",Pittsburgh Pirates,0,9,4,20, PNC Park,32228
Minnesota Twins,0,8,7,6,158.4,"Day Game, on grass",New York Yankees,0,2,1,13, Yankee Stadium III,38673
Washington Nationals,0,4,3,6,202.4,"Day Game, on grass",Milwaukee Brewers,1,11,2,13, Miller Park,30215
Chicago Cubs,1,5,1,6,191.2,"Day Game, on grass",Miami Marlins,0,9,6,13, Marlins Park,27318
Houston Astros,0,4,1,6,172.8,"Day Game, on grass",Kansas City Royals,0,13,6,13, Kauffman Stadium,36450
Cleveland Indians,0,13,9,6,196.8,"Day Game, on grass",Detroit Tigers,0,6,3,13, Comerica Park,36502
Arizona Diamondbacks,1,15,7,6,236.0,"Day Game, on grass",Colorado Rockies,0,11,9,14, Coors Field,32435
San Diego Padres,0,5,0,6,180.79999999999998,"Day Game, on grass",Cincinnati Reds,0,9,3,13, Great American Ball Park,40805
Toronto Blue Jays,1,5,2,6,163.2,"Day Game, on grass",Chicago White Sox,0,8,5,13, U.S. Cellular Field,28345
Tampa Bay Rays,0,12,5,6,184.79999999999998,"Day Game, on grass",Baltimore Orioles,0,17,12,13, Oriole Park at Camden Yards,38611
New York Mets,1,7,2,6,182.4,"Day Game, on grass",Atlanta Braves,1,10,5,13, Turner Field,20484
Oakland Athletics,0,9,6,6,232.8,"Day Game, on grass",Los Angeles Angels of Anaheim,0,13,7,12, Angel Stadium of Anaheim,36715
Boston Red Sox,2,7,3,5,228.0,"Night Game, on grass",Texas Rangers,0,11,10,20, Globe Life Park in Arlington,47559
Philadelphia Phillies,1,6,3,5,195.20000000000002,"Night Game, on grass",San Francisco Giants,1,6,2,19, AT&T Park,41928
St. Louis Cardinals,1,8,4,5,204.79999999999998,"Night Game, on grass",Seattle Mariners,1,10,5,19, Safeco Field,40431
Los Angeles Dodgers,1,8,1,5,195.20000000000002,"Night Game, on grass",Pittsburgh Pirates,1,5,6,19, PNC Park,33590
Minnesota Twins,2,3,1,5,190.4,"Day Game, on grass",New York Yankees,0,10,2,13, Yankee Stadium III,40075
Washington Nationals,0,10,5,5,188.0,"Day Game, on grass",Milwaukee Brewers,1,10,6,15, Miller Park,30085
Chicago Cubs,2,8,6,5,194.39999999999998,"Day Game, on grass",Miami Marlins,0,10,9,16, Marlins Park,29457
