away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
San Diego Padres,1,9,3,0,209.6,"Day Game, on grass",Seattle Mariners,2,10,9,13, Safeco Field,29764
Washington Nationals,0,5,4,0,204.79999999999998,"Night Game, on grass",Philadelphia Phillies,0,6,3,19, Citizens Bank Park,21993
Minnesota Twins,0,8,2,0,171.2,"Day Game, on grass",Oakland Athletics,0,7,3,13, Oakland-Alameda County Coliseum,17248
Chicago White Sox,0,2,0,0,174.39999999999998,"Day Game, on grass",New York Mets,0,7,1,13, Citi Field,38339
St. Louis Cardinals,2,12,6,0,198.4,"Day Game, on grass",Milwaukee Brewers,1,5,0,13, Miller Park,34569
Pittsburgh Pirates,0,14,10,0,179.20000000000002,"Night Game, on grass",Miami Marlins,0,3,0,19, Marlins Park,10856
Tampa Bay Rays,3,5,2,0,184.79999999999998,"Night Game, on grass",Kansas City Royals,1,10,6,19, Kauffman Stadium,32018
Cincinnati Reds,0,17,11,0,220.0,"Day Game, on grass",Colorado Rockies,0,11,8,14, Coors Field,30608
Texas Rangers,0,11,9,0,177.6,"Night Game, on grass",Cleveland Indians,4,11,2,18, Progressive Field,14514
Los Angeles Dodgers,1,1,0,0,184.0,"Day Game, on grass",Chicago Cubs,0,8,2,16, Wrigley Field,41470
Boston Red Sox,0,11,7,0,206.4,"Day Game, on grass",Baltimore Orioles,0,4,2,13, Oriole Park at Camden Yards,43926
San Francisco Giants,1,6,3,0,179.20000000000002,"Day Game, on grass",Atlanta Braves,2,6,5,13, Turner Field,23147
Houston Astros,0,13,8,0,206.4,"Day Game, on grass",Arizona Diamondbacks,2,5,3,13, Chase Field,24798
Detroit Tigers,1,4,1,0,193.6,"Night Game, on grass",Los Angeles Angels of Anaheim,0,6,5,18, Angel Stadium of Anaheim,38541
St. Louis Cardinals,0,9,2,6,199.20000000000002,"Day Game, on grass",Washington Nationals,0,12,10,13, Nationals Park,38898
Boston Red Sox,0,9,5,6,251.20000000000002,"Day Game, on turf",Toronto Blue Jays,0,10,3,13, Rogers Centre,47916
Pittsburgh Pirates,1,8,2,6,195.20000000000002,"Day Game, on grass",Texas Rangers,1,7,6,14, Globe Life Park in Arlington,44613
New York Yankees,1,1,2,6,192.0,"Day Game, on turf",Tampa Bay Rays,1,6,1,13, Tropicana Field,19748
Minnesota Twins,0,7,5,6,201.6,"Day Game, on grass",Seattle Mariners,0,7,4,13, Safeco Field,33748
Detroit Tigers,1,5,2,6,196.8,"Day Game, on grass",Oakland Athletics,0,9,4,13, Oakland-Alameda County Coliseum,20522
Los Angeles Dodgers,0,9,4,6,188.0,"Night Game, on grass",New York Mets,2,5,2,20, Citi Field,42287
Cincinnati Reds,0,9,4,6,196.0,"Day Game, on grass",Milwaukee Brewers,0,8,5,13, Miller Park,34901
Chicago White Sox,0,9,4,6,186.4,"Day Game, on grass",Kansas City Royals,0,11,5,13, Kauffman Stadium,36624
San Francisco Giants,1,17,8,6,220.0,"Day Game, on grass",Colorado Rockies,2,8,3,14, Coors Field,42307
Baltimore Orioles,1,8,6,6,202.4,"Day Game, on grass",Cleveland Indians,0,8,4,13, Progressive Field,18565
Philadelphia Phillies,1,6,2,6,200.0,"Day Game, on grass",Chicago Cubs,0,10,7,13, Wrigley Field,41575
Miami Marlins,1,10,7,6,208.8,"Night Game, on grass",Atlanta Braves,1,3,3,17, Turner Field,50247
San Diego Padres,0,5,3,6,182.4,"Day Game, on grass",Arizona Diamondbacks,0,9,6,13, Chase Field,21458
St. Louis Cardinals,0,12,9,5,180.0,"Night Game, on grass",Washington Nationals,0,7,4,19, Nationals Park,38274
Boston Red Sox,3,15,9,5,239.20000000000002,"Day Game, on turf",Toronto Blue Jays,2,13,10,13, Rogers Centre,48154
Pittsburgh Pirates,0,7,2,5,192.8,"Night Game, on grass",Texas Rangers,2,9,5,18, Globe Life Park in Arlington,46950
New York Yankees,0,12,5,5,204.0,"Day Game, on turf",Tampa Bay Rays,0,13,9,16, Tropicana Field,20188
Minnesota Twins,1,11,6,5,228.0,"Night Game, on grass",Seattle Mariners,0,14,5,19, Safeco Field,28309
Detroit Tigers,0,6,3,5,211.2,"Day Game, on grass",Oakland Athletics,1,17,12,13, Oakland-Alameda County Coliseum,24154
Los Angeles Dodgers,0,14,9,5,199.20000000000002,"Night Game, on grass",New York Mets,0,3,1,19, Citi Field,42227
Cincinnati Reds,1,11,7,5,253.6,"Day Game, on grass",Milwaukee Brewers,0,7,6,15, Miller Park,30293
Chicago White Sox,0,11,7,5,215.20000000000002,"Day Game, on grass",Kansas City Royals,2,12,8,13, Kauffman Stadium,31598
San Francisco Giants,1,16,10,5,223.2,"Day Game, on grass",Colorado Rockies,1,9,5,14, Coors Field,39253
Baltimore Orioles,4,10,4,5,183.2,"Day Game, on grass",Cleveland Indians,0,13,11,16, Progressive Field,21110
Philadelphia Phillies,0,5,1,5,148.8,"Day Game, on grass",Chicago Cubs,0,8,4,13, Wrigley Field,41555
Miami Marlins,2,7,2,5,204.0,"Day Game, on grass",Atlanta Braves,1,6,7,16, Turner Field,33879
San Diego Padres,1,10,7,5,213.6,"Night Game, on grass",Arizona Diamondbacks,1,10,8,19, Chase Field,23927
Houston Astros,0,9,4,5,193.6,"Night Game, on grass",Los Angeles Angels of Anaheim,0,3,2,19, Angel Stadium of Anaheim,38176
St. Louis Cardinals,2,4,6,4,171.2,"Night Game, on grass",Washington Nationals,0,8,2,19, Nationals Park,30781
Boston Red Sox,0,7,5,4,204.79999999999998,"Night Game, on turf",Toronto Blue Jays,1,11,7,19, Rogers Centre,46470
Pittsburgh Pirates,0,14,9,4,186.4,"Night Game, on grass",Texas Rangers,1,10,1,19, Globe Life Park in Arlington,37645
New York Yankees,0,4,4,4,177.6,"Night Game, on turf",Tampa Bay Rays,2,4,1,19, Tropicana Field,14697
Minnesota Twins,0,10,7,4,177.6,"Night Game, on grass",Seattle Mariners,0,5,2,19, Safeco Field,40921
Detroit Tigers,0,11,4,4,184.0,"Night Game, on grass",Oakland Athletics,0,5,1,19, Oakland-Alameda County Coliseum,22498
Los Angeles Dodgers,0,8,5,4,184.79999999999998,"Night Game, on grass",New York Mets,1,9,6,19, Citi Field,43462
Cincinnati Reds,0,6,5,4,204.79999999999998,"Night Game, on grass",Milwaukee Brewers,1,14,9,19, Miller Park,20441
Chicago White Sox,0,8,5,4,212.8,"Night Game, on grass",Kansas City Royals,0,13,7,19, Kauffman Stadium,28508
San Francisco Giants,0,7,2,4,187.2,"Night Game, on grass",Colorado Rockies,2,11,5,19, Coors Field,32901
Baltimore Orioles,0,13,6,4,194.39999999999998,"Night Game, on grass",Cleveland Indians,0,10,4,19, Progressive Field,21054
Philadelphia Phillies,1,10,2,4,186.4,"Day Game, on grass",Chicago Cubs,2,10,6,13, Wrigley Field,38941
Miami Marlins,0,8,2,4,200.79999999999998,"Night Game, on grass",Atlanta Braves,0,14,4,19, Turner Field,19325
San Diego Padres,1,18,10,4,210.4,"Night Game, on grass",Arizona Diamondbacks,0,6,3,18, Chase Field,24935
Houston Astros,0,8,2,4,180.79999999999998,"Night Game, on grass",Los Angeles Angels of Anaheim,0,9,7,19, Angel Stadium of Anaheim,39047
Oakland Athletics,0,10,3,2,195.20000000000002,"Night Game, on grass",Seattle Mariners,0,17,13,19, Safeco Field,19227
Arizona Diamondbacks,1,9,4,2,188.0,"Night Game, on grass",Pittsburgh Pirates,0,11,5,19, PNC Park,20696
Toronto Blue Jays,0,11,8,2,214.39999999999998,"Night Game, on grass",New York Yankees,1,6,4,19, Yankee Stadium III,38959
Kansas City Royals,2,11,5,2,196.8,"Day Game, on grass",Minnesota Twins,0,12,7,12, Target Field,27233
Cincinnati Reds,0,4,1,2,153.6,"Night Game, on grass",Los Angeles Dodgers,0,3,3,19, Dodger Stadium,44855
Baltimore Orioles,4,11,3,2,212.8,"Night Game, on grass",Houston Astros,1,8,4,19, Minute Maid Park,25618
Philadelphia Phillies,1,12,8,2,197.6,"Day Game, on grass",Detroit Tigers,3,9,5,13, Comerica Park,31187
Cleveland Indians,3,8,4,2,183.2,"Day Game, on grass",Chicago White Sox,0,9,3,13, U.S. Cellular Field,22561
Colorado Rockies,0,10,3,2,194.39999999999998,"Night Game, on grass",Boston Red Sox,0,13,10,19, Fenway Park,36430
Milwaukee Brewers,0,11,3,2,321.59999999999997,"Night Game, on grass",Atlanta Braves,0,9,2,19, Turner Field,12869
New York Mets,0,5,4,1,196.8,"Night Game, on grass",Washington Nationals,0,11,7,19, Nationals Park,33096
Los Angeles Angels of Anaheim,0,7,1,1,195.20000000000002,"Night Game, on grass",Texas Rangers,0,7,4,19, Globe Life Park in Arlington,26125
Chicago Cubs,1,15,12,1,196.0,"Night Game, on grass",St. Louis Cardinals,2,7,3,18, Busch Stadium III,44588
San Diego Padres,1,9,2,1,201.6,"Night Game, on grass",San Francisco Giants,1,9,8,19, AT&T Park,41772
Oakland Athletics,0,9,5,1,199.20000000000002,"Night Game, on grass",Seattle Mariners,0,11,6,19, Safeco Field,17471
Arizona Diamondbacks,2,6,1,1,216.8,"Night Game, on grass",Pittsburgh Pirates,0,17,12,19, PNC Park,18415
Toronto Blue Jays,0,2,0,1,184.0,"Night Game, on grass",New York Yankees,0,8,6,19, Yankee Stadium III,35174
Kansas City Royals,1,13,7,1,191.2,"Night Game, on grass",Minnesota Twins,2,7,4,19, Target Field,23541
Tampa Bay Rays,2,9,4,1,213.6,"Day Game, on grass",Miami Marlins,1,8,3,12, Marlins Park,23709
Cincinnati Reds,3,3,2,1,192.8,"Night Game, on grass",Los Angeles Dodgers,0,11,8,19, Dodger Stadium,42278
Baltimore Orioles,0,8,2,1,262.4,"Night Game, on grass",Houston Astros,1,8,3,19, Minute Maid Park,24783
Philadelphia Phillies,0,5,1,1,180.79999999999998,"Night Game, on grass",Detroit Tigers,0,7,3,19, Comerica Park,26531
Cleveland Indians,0,10,6,1,201.6,"Night Game, on grass",Chicago White Sox,0,6,2,19, U.S. Cellular Field,21550
Colorado Rockies,1,6,3,1,208.0,"Night Game, on grass",Boston Red Sox,0,12,8,19, Fenway Park,36123
Milwaukee Brewers,1,4,2,1,192.8,"Night Game, on grass",Atlanta Braves,0,5,1,19, Turner Field,15185
New York Mets,0,11,7,0,172.8,"Night Game, on grass",Washington Nationals,0,6,1,20, Nationals Park,31264
Los Angeles Angels of Anaheim,1,9,2,0,209.6,"Night Game, on grass",Texas Rangers,0,7,0,19, Globe Life Park in Arlington,25298
Chicago Cubs,1,9,3,0,196.8,"Night Game, on grass",St. Louis Cardinals,0,5,4,19, Busch Stadium III,45008
San Diego Padres,1,2,0,0,179.20000000000002,"Night Game, on grass",San Francisco Giants,0,5,1,19, AT&T Park,42099
Oakland Athletics,0,7,5,0,184.0,"Night Game, on grass",Seattle Mariners,2,9,0,19, Safeco Field,16370
Colorado Rockies,1,7,3,0,196.0,"Day Game, on grass",Pittsburgh Pirates,0,7,6,12, PNC Park,34529
Kansas City Royals,1,17,10,0,226.4,"Night Game, on grass",Minnesota Twins,1,12,4,19, Target Field,17886
Tampa Bay Rays,0,12,6,0,197.6,"Night Game, on grass",Miami Marlins,0,14,7,19, Marlins Park,17969
Cincinnati Reds,3,2,0,0,137.6,"Night Game, on grass",Los Angeles Dodgers,0,5,1,19, Dodger Stadium,42519
Philadelphia Phillies,1,12,4,0,196.0,"Night Game, on grass",Detroit Tigers,1,12,5,19, Comerica Park,26400
Cleveland Indians,1,7,5,0,184.0,"Night Game, on grass",Chicago White Sox,0,6,1,20, U.S. Cellular Field,18323
Arizona Diamondbacks,0,13,7,6,190.4,"Day Game, on grass",St. Louis Cardinals,1,6,2,13, Busch Stadium III,43829
Chicago Cubs,0,3,0,6,172.8,"Night Game, on grass",San Francisco Giants,0,4,1,17, AT&T Park,41359
Los Angeles Dodgers,1,16,9,6,375.2,"Day Game, on grass",San Diego Padres,0,9,5,13, Petco Park,43100
Atlanta Braves,0,6,0,6,176.0,"Day Game, on grass",Philadelphia Phillies,0,13,5,13, Citizens Bank Park,23367
New York Yankees,2,10,5,6,208.0,"Day Game, on grass",Oakland Athletics,1,6,4,13, Oakland-Alameda County Coliseum,25237
Milwaukee Brewers,0,8,1,6,214.39999999999998,"Day Game, on grass",New York Mets,1,6,3,13, Citi Field,40173
Toronto Blue Jays,0,9,3,6,166.4,"Day Game, on grass",Minnesota Twins,1,3,1,13, Target Field,33421
Washington Nationals,0,10,8,6,209.6,"Day Game, on grass",Miami Marlins,1,6,2,13, Marlins Park,24308
Texas Rangers,1,13,9,6,177.6,"Day Game, on grass",Houston Astros,0,5,2,13, Minute Maid Park,35035
Tampa Bay Rays,0,10,4,6,184.79999999999998,"Day Game, on grass",Detroit Tigers,0,13,9,13, Comerica Park,34758
Seattle Mariners,0,12,5,6,214.39999999999998,"Day Game, on grass",Cincinnati Reds,2,8,4,13, Great American Ball Park,24123
Kansas City Royals,0,8,2,6,193.6,"Day Game, on grass",Chicago White Sox,0,7,3,13, U.S. Cellular Field,34526
Cleveland Indians,0,6,2,6,216.8,"Day Game, on grass",Boston Red Sox,0,12,5,13, Fenway Park,36021
Arizona Diamondbacks,1,8,2,5,204.79999999999998,"Day Game, on grass",St. Louis Cardinals,1,10,6,15, Busch Stadium III,45117
Chicago Cubs,0,10,3,5,207.2,"Day Game, on grass",San Francisco Giants,0,9,5,16, AT&T Park,41507
Los Angeles Dodgers,1,4,2,5,242.4,"Night Game, on grass",San Diego Padres,0,5,3,19, Petco Park,40221
Colorado Rockies,1,6,5,5,183.2,"Night Game, on grass",Pittsburgh Pirates,3,9,1,17, PNC Park,31352
Atlanta Braves,0,6,2,5,209.6,"Day Game, on grass",Philadelphia Phillies,0,2,0,15, Citizens Bank Park,20196
New York Yankees,0,8,5,5,193.6,"Day Game, on grass",Oakland Athletics,1,6,1,13, Oakland-Alameda County Coliseum,26356
Milwaukee Brewers,0,7,4,5,194.39999999999998,"Day Game, on grass",New York Mets,0,9,5,16, Citi Field,39688
Toronto Blue Jays,0,6,3,5,150.4,"Day Game, on grass",Minnesota Twins,0,4,5,13, Target Field,30460
Washington Nationals,1,8,2,5,200.79999999999998,"Night Game, on grass",Miami Marlins,0,10,3,19, Marlins Park,25839
Texas Rangers,0,6,2,5,185.60000000000002,"Night Game, on grass",Houston Astros,0,3,1,18, Minute Maid Park,35040
Tampa Bay Rays,0,6,4,5,212.8,"Day Game, on grass",Detroit Tigers,0,8,5,16, Comerica Park,32316
Seattle Mariners,0,6,4,5,203.2,"Day Game, on grass",Cincinnati Reds,1,4,0,16, Great American Ball Park,38200
Kansas City Royals,1,8,2,5,188.0,"Day Game, on grass",Chicago White Sox,0,7,1,13, U.S. Cellular Field,27631
Cleveland Indians,0,2,1,5,207.2,"Day Game, on grass",Boston Red Sox,2,13,9,16, Fenway Park,37254
Baltimore Orioles,0,5,3,5,192.8,"Night Game, on grass",Los Angeles Angels of Anaheim,0,9,1,19, Angel Stadium of Anaheim,40137
Arizona Diamondbacks,2,15,11,4,253.6,"Night Game, on grass",St. Louis Cardinals,1,11,7,19, Busch Stadium III,43301
Chicago Cubs,0,11,8,4,197.6,"Night Game, on grass",San Francisco Giants,0,6,1,19, AT&T Park,41750
Los Angeles Dodgers,0,11,6,4,220.0,"Night Game, on grass",San Diego Padres,0,7,7,19, Petco Park,31836
Colorado Rockies,1,12,1,4,172.8,"Night Game, on grass",Pittsburgh Pirates,0,8,2,19, PNC Park,23428
San Francisco Giants,0,9,3,3,209.6,"Night Game, on grass",San Diego Padres,1,4,1,18, Petco Park,26417
Atlanta Braves,0,7,2,3,209.6,"Night Game, on grass",Pittsburgh Pirates,0,11,8,19, PNC Park,23074
New York Yankees,0,10,4,3,182.4,"Night Game, on grass",Oakland Athletics,1,6,1,19, Oakland-Alameda County Coliseum,17456
Washington Nationals,0,11,9,3,199.20000000000002,"Night Game, on grass",New York Mets,1,6,1,19, Citi Field,39494
Toronto Blue Jays,1,9,3,3,191.2,"Night Game, on grass",Minnesota Twins,0,4,2,19, Target Field,25435
Chicago Cubs,1,6,3,3,212.8,"Day Game, on grass",Milwaukee Brewers,0,8,5,12, Miller Park,38781
Cleveland Indians,1,10,7,3,196.8,"Night Game, on grass",Cincinnati Reds,2,5,2,19, Great American Ball Park,21173
Houston Astros,0,4,1,3,137.6,"Night Game, on grass",Chicago White Sox,0,5,2,19, U.S. Cellular Field,20096
Seattle Mariners,0,9,7,3,181.6,"Day Game, on grass",Baltimore Orioles,1,6,2,12, Oriole Park at Camden Yards,35012
Los Angeles Dodgers,0,6,4,3,189.6,"Night Game, on grass",Los Angeles Angels of Anaheim,0,11,7,19, Angel Stadium of Anaheim,45007
Tampa Bay Rays,0,10,6,2,196.8,"Night Game, on turf",Toronto Blue Jays,1,4,3,19, Rogers Centre,29078
Colorado Rockies,1,6,0,2,206.4,"Night Game, on grass",St. Louis Cardinals,1,7,2,19, Busch Stadium III,42618
San Francisco Giants,0,4,2,2,172.8,"Night Game, on grass",San Diego Padres,1,4,1,19, Petco Park,23518
Atlanta Braves,0,10,3,2,180.79999999999998,"Night Game, on grass",Pittsburgh Pirates,0,6,1,19, PNC Park,18201
Miami Marlins,1,6,2,2,166.4,"Day Game, on grass",Philadelphia Phillies,0,8,4,13, Citizens Bank Park,29579
Texas Rangers,0,4,1,2,169.6,"Day Game, on grass",Oakland Athletics,0,12,8,12, Oakland-Alameda County Coliseum,14323
Washington Nationals,0,8,7,2,247.2,"Night Game, on grass",New York Mets,0,6,1,19, Citi Field,30100
Chicago Cubs,1,10,2,2,300.0,"Night Game, on grass",Milwaukee Brewers,1,6,1,19, Miller Park,31212
Boston Red Sox,0,10,5,2,189.6,"Night Game, on grass",Kansas City Royals,0,6,2,19, Kauffman Stadium,23739
Boston Red Sox,0,9,2,2,156.8,"Day Game, on grass",Kansas City Royals,0,5,3,13, Kauffman Stadium,33613
Minnesota Twins,3,7,3,2,211.2,"Day Game, on grass",Detroit Tigers,0,13,6,13, Comerica Park,29035
Cleveland Indians,0,10,8,2,273.6,"Night Game, on grass",Cincinnati Reds,2,10,7,19, Great American Ball Park,22815
Houston Astros,0,13,5,2,211.2,"Night Game, on grass",Chicago White Sox,0,10,3,19, U.S. Cellular Field,14936
Seattle Mariners,1,7,2,2,214.39999999999998,"Night Game, on grass",Baltimore Orioles,0,8,5,19, Oriole Park at Camden Yards,21167
New York Yankees,0,11,4,2,199.20000000000002,"Night Game, on grass",Arizona Diamondbacks,0,2,2,18, Chase Field,32191
Los Angeles Dodgers,2,8,1,2,199.20000000000002,"Night Game, on grass",Los Angeles Angels of Anaheim,0,12,8,19, Angel Stadium of Anaheim,44006
Tampa Bay Rays,0,17,12,1,188.8,"Night Game, on turf",Toronto Blue Jays,2,5,2,19, Rogers Centre,27321
Colorado Rockies,0,7,3,1,190.4,"Night Game, on grass",St. Louis Cardinals,1,6,1,19, Busch Stadium III,41109
San Francisco Giants,1,10,5,1,195.20000000000002,"Night Game, on grass",San Diego Padres,1,5,1,19, Petco Park,24433
Atlanta Braves,3,15,9,1,237.6,"Night Game, on grass",Pittsburgh Pirates,1,21,12,19, PNC Park,19400
Miami Marlins,1,8,1,1,204.79999999999998,"Night Game, on grass",Philadelphia Phillies,0,6,3,19, Citizens Bank Park,18140
Texas Rangers,0,15,5,1,192.0,"Night Game, on grass",Oakland Athletics,2,12,8,19, Oakland-Alameda County Coliseum,12718
Washington Nationals,0,5,0,1,171.2,"Night Game, on grass",New York Mets,0,4,2,19, Citi Field,36701
Chicago Cubs,0,3,2,1,136.0,"Night Game, on grass",Milwaukee Brewers,0,5,4,19, Miller Park,24361
Los Angeles Angels of Anaheim,1,4,1,1,139.2,"Night Game, on grass",Los Angeles Dodgers,0,13,5,19, Dodger Stadium,42514
Boston Red Sox,2,8,4,1,206.4,"Night Game, on grass",Kansas City Royals,0,11,8,19, Kauffman Stadium,25215
Minnesota Twins,0,7,2,1,208.0,"Night Game, on grass",Detroit Tigers,0,10,7,19, Comerica Park,27652
Cincinnati Reds,0,5,1,1,210.4,"Night Game, on grass",Cleveland Indians,0,17,13,18, Progressive Field,13095
Houston Astros,0,11,6,1,266.4,"Night Game, on grass",Chicago White Sox,2,11,5,19, U.S. Cellular Field,13481
Seattle Mariners,1,12,10,1,185.60000000000002,"Night Game, on grass",Baltimore Orioles,1,2,0,19, Oriole Park at Camden Yards,14477
New York Yankees,2,6,3,1,195.20000000000002,"Night Game, on grass",Arizona Diamondbacks,0,10,5,18, Chase Field,30913
Tampa Bay Rays,0,17,13,0,206.4,"Night Game, on turf",Toronto Blue Jays,1,8,2,19, Rogers Centre,26516
Atlanta Braves,0,9,5,0,208.0,"Night Game, on grass",Pittsburgh Pirates,1,14,8,19, PNC Park,16905
Miami Marlins,1,10,5,0,191.2,"Night Game, on grass",Philadelphia Phillies,1,10,3,19, Citizens Bank Park,28348
Texas Rangers,1,4,1,0,164.79999999999998,"Night Game, on grass",Oakland Athletics,0,4,3,19, Oakland-Alameda County Coliseum,10068
Los Angeles Angels of Anaheim,1,12,7,0,240.0,"Night Game, on grass",Los Angeles Dodgers,0,9,6,19, Dodger Stadium,39583
Minnesota Twins,0,11,8,0,196.8,"Night Game, on grass",Detroit Tigers,3,14,10,19, Comerica Park,25925
Cincinnati Reds,2,12,6,0,200.79999999999998,"Night Game, on grass",Cleveland Indians,1,19,15,18, Progressive Field,12184
New York Yankees,2,8,2,0,180.0,"Night Game, on grass",Arizona Diamondbacks,1,15,12,18, Chase Field,32718
Miami Marlins,1,9,5,6,184.79999999999998,"Day Game, on grass",Washington Nationals,2,7,1,13, Nationals Park,36786
Toronto Blue Jays,0,12,6,6,226.4,"Day Game, on grass",Texas Rangers,1,9,7,14, Globe Life Park in Arlington,41327
Oakland Athletics,1,12,7,6,188.0,"Day Game, on turf",Tampa Bay Rays,0,6,6,13, Tropicana Field,19545
Los Angeles Angels of Anaheim,0,9,3,6,208.0,"Day Game, on grass",Seattle Mariners,0,2,0,13, Safeco Field,40852
Chicago White Sox,2,12,5,6,237.6,"Day Game, on grass",New York Yankees,0,10,7,13, Yankee Stadium III,41979
San Diego Padres,0,7,2,6,193.6,"Day Game, on grass",Milwaukee Brewers,0,11,3,13, Miller Park,26306
St. Louis Cardinals,0,7,5,6,180.0,"Night Game, on grass",Los Angeles Dodgers,0,6,2,17, Dodger Stadium,51350
Atlanta Braves,0,10,2,6,265.6,"Day Game, on grass",Kansas City Royals,1,12,4,13, Kauffman Stadium,33861
New York Mets,0,8,3,6,171.2,"Day Game, on grass",Colorado Rockies,0,6,4,14, Coors Field,36901
Minnesota Twins,0,7,5,6,182.4,"Day Game, on grass",Cleveland Indians,1,9,1,13, Progressive Field,13236
Pittsburgh Pirates,0,5,2,6,208.0,"Day Game, on grass",Chicago Cubs,0,4,1,13, Wrigley Field,40814
Houston Astros,2,8,9,6,244.0,"Day Game, on grass",Boston Red Sox,3,14,10,13, Fenway Park,35736
Detroit Tigers,1,13,6,6,240.79999999999998,"Day Game, on grass",Baltimore Orioles,0,7,5,13, Oriole Park at Camden Yards,37890
San Francisco Giants,1,4,2,6,180.0,"Day Game, on grass",Arizona Diamondbacks,0,8,1,13, Chase Field,25007
Miami Marlins,0,11,7,5,208.0,"Night Game, on grass",Washington Nationals,0,5,1,19, Nationals Park,30019
Miami Marlins,3,8,4,5,215.20000000000002,"Day Game, on grass",Washington Nationals,1,9,6,13, Nationals Park,28634
Toronto Blue Jays,0,10,5,5,181.6,"Night Game, on grass",Texas Rangers,1,9,6,19, Globe Life Park in Arlington,47115
Oakland Athletics,1,2,0,5,177.6,"Night Game, on turf",Tampa Bay Rays,0,8,6,18, Tropicana Field,28158
Los Angeles Angels of Anaheim,0,13,9,5,226.4,"Night Game, on grass",Seattle Mariners,1,11,7,18, Safeco Field,42038
Cincinnati Reds,0,7,3,5,192.0,"Night Game, on grass",Philadelphia Phillies,1,10,4,19, Citizens Bank Park,29535
Chicago White Sox,0,5,1,5,158.4,"Day Game, on grass",New York Yankees,0,5,2,13, Yankee Stadium III,39691
San Diego Padres,4,13,8,5,306.4,"Night Game, on grass",Milwaukee Brewers,0,10,7,18, Miller Park,28896
St. Louis Cardinals,1,5,3,5,192.0,"Night Game, on grass",Los Angeles Dodgers,2,6,5,18, Dodger Stadium,48459
Atlanta Braves,1,11,5,5,188.8,"Night Game, on grass",Kansas City Royals,0,8,0,18, Kauffman Stadium,36541
New York Mets,1,13,4,5,197.6,"Night Game, on grass",Colorado Rockies,1,12,7,18, Coors Field,34362
Minnesota Twins,0,11,6,5,192.8,"Day Game, on grass",Cleveland Indians,0,7,3,16, Progressive Field,15428
Pittsburgh Pirates,1,3,2,5,187.2,"Day Game, on grass",Chicago Cubs,0,11,8,13, Wrigley Field,40953
Houston Astros,0,11,5,5,260.79999999999995,"Day Game, on grass",Boston Red Sox,0,14,6,13, Fenway Park,37430
Detroit Tigers,1,5,3,5,190.4,"Night Game, on grass",Baltimore Orioles,0,11,9,19, Oriole Park at Camden Yards,32174
San Francisco Giants,1,12,5,5,188.0,"Night Game, on grass",Arizona Diamondbacks,0,8,3,17, Chase Field,32448
Miami Marlins,0,8,3,4,210.4,"Night Game, on grass",Washington Nationals,2,9,5,19, Nationals Park,28232
Toronto Blue Jays,0,9,5,4,180.79999999999998,"Night Game, on grass",Texas Rangers,1,3,0,19, Globe Life Park in Arlington,40344
San Francisco Giants,0,8,3,4,180.0,"Night Game, on grass",Arizona Diamondbacks,0,8,1,18, Chase Field,21753
Kansas City Royals,0,9,3,3,192.0,"Night Game, on grass",New York Yankees,0,7,7,19, Yankee Stadium III,35944
San Diego Padres,0,7,3,3,201.6,"Night Game, on grass",Milwaukee Brewers,0,8,0,19, Miller Park,17374
New York Mets,0,3,0,3,140.8,"Night Game, on grass",Los Angeles Dodgers,0,8,5,19, Dodger Stadium,41765
Houston Astros,1,7,1,3,209.6,"Night Game, on grass",Boston Red Sox,1,14,11,19, Fenway Park,34982
Detroit Tigers,0,13,5,3,205.60000000000002,"Night Game, on grass",Baltimore Orioles,1,12,7,19, Oriole Park at Camden Yards,14918
Philadelphia Phillies,0,10,7,3,202.4,"Night Game, on grass",Atlanta Braves,1,8,4,19, Turner Field,15643
San Francisco Giants,0,8,4,3,200.79999999999998,"Night Game, on grass",Arizona Diamondbacks,0,10,2,18, Chase Field,19461
St. Louis Cardinals,1,18,12,3,269.6,"Night Game, on grass",Los Angeles Angels of Anaheim,2,15,10,19, Angel Stadium of Anaheim,35413
Detroit Tigers,0,6,2,2,180.79999999999998,"Night Game, on grass",Washington Nationals,0,9,3,19, Nationals Park,35695
Chicago White Sox,0,11,5,2,191.2,"Day Game, on grass",Texas Rangers,2,10,6,13, Globe Life Park in Arlington,29023
Toronto Blue Jays,2,11,4,2,284.8,"Day Game, on grass",San Francisco Giants,2,12,5,12, AT&T Park,41372
Tampa Bay Rays,0,10,5,2,241.6,"Day Game, on grass",Seattle Mariners,0,8,6,12, Safeco Field,23000
Kansas City Royals,0,9,7,2,208.8,"Night Game, on grass",New York Yankees,0,7,3,19, Yankee Stadium III,31226
Baltimore Orioles,0,16,9,2,206.4,"Day Game, on grass",Minnesota Twins,0,8,2,12, Target Field,25094
Milwaukee Brewers,0,8,2,2,166.4,"Night Game, on grass",Miami Marlins,0,5,3,19, Marlins Park,19893
New York Mets,1,8,4,2,186.4,"Night Game, on grass",Los Angeles Dodgers,0,7,3,19, Dodger Stadium,40970
Cleveland Indians,0,14,3,2,314.4,"Day Game, on grass",Houston Astros,1,10,5,13, Minute Maid Park,24453
Arizona Diamondbacks,1,13,7,2,210.4,"Day Game, on grass",Colorado Rockies,0,14,8,13, Coors Field,34890
